CO2,pressure,temperature,humidity,date_time
793,1007.8,22.65,58.08,2022-08-18T12:31:47Z
774,1007.81,22.66,57.37,2022-08-18T12:31:52Z
767,1007.83,22.69,57.45,2022-08-18T12:31:57Z
756,1007.85,22.73,57.72,2022-08-18T12:32:02Z
738,1007.84,22.76,57.55,2022-08-18T12:32:07Z
719,1007.82,22.8,57.77,2022-08-18T12:32:12Z
694,1007.81,22.82,56.98,2022-08-18T12:32:17Z
675,1007.81,22.84,56.7,2022-08-18T12:32:22Z
661,1007.83,22.87,56.52,2022-08-18T12:32:27Z
649,1007.8,22.88,56.39,2022-08-18T12:32:32Z
637,1007.85,22.89,56.3,2022-08-18T12:32:37Z
628,1007.83,22.89,56.29,2022-08-18T12:32:42Z
622,1007.84,22.89,55.99,2022-08-18T12:32:47Z
615,1007.86,22.93,55.89,2022-08-18T12:32:52Z
608,1007.81,22.94,55.87,2022-08-18T12:32:57Z
598,1007.81,22.95,55.82,2022-08-18T12:33:02Z
592,1007.83,22.99,56.08,2022-08-18T12:33:07Z
583,1007.81,23.01,56.16,2022-08-18T12:33:12Z
580,1007.81,23.02,55.71,2022-08-18T12:33:17Z
575,1007.81,23.07,55.61,2022-08-18T12:33:22Z
570,1007.85,23.09,55.48,2022-08-18T12:33:27Z
566,1007.82,23.1,55.4,2022-08-18T12:33:32Z
561,1007.81,23.12,55.34,2022-08-18T12:33:37Z
556,1007.84,23.15,55.46,2022-08-18T12:33:42Z
553,1007.82,23.17,55.41,2022-08-18T12:33:47Z
553,1007.85,23.21,55.49,2022-08-18T12:33:52Z
550,1007.82,23.23,55.24,2022-08-18T12:33:58Z
548,1007.8,23.26,55.1,2022-08-18T12:34:03Z
548,1007.78,23.31,55.08,2022-08-18T12:34:08Z
545,1007.77,23.33,55.2,2022-08-18T12:34:13Z
545,1007.81,23.37,55.11,2022-08-18T12:34:18Z
542,1007.83,23.42,55.17,2022-08-18T12:34:23Z
542,1007.8,23.43,54.81,2022-08-18T12:34:28Z
540,1007.86,23.48,54.72,2022-08-18T12:34:33Z
540,1007.82,23.47,54.53,2022-08-18T12:34:38Z
540,1007.82,23.5,54.76,2022-08-18T12:34:43Z
538,1007.82,23.53,54.5,2022-08-18T12:34:48Z
538,1007.84,23.56,54.29,2022-08-18T12:34:53Z
538,1007.83,23.59,54.06,2022-08-18T12:34:58Z
537,1007.83,23.59,53.98,2022-08-18T12:35:03Z
537,1007.81,23.6,54.09,2022-08-18T12:35:08Z
536,1007.83,23.6,53.94,2022-08-18T12:35:13Z
536,1007.84,23.59,53.9,2022-08-18T12:35:18Z
536,1007.83,23.57,53.91,2022-08-18T12:35:23Z
536,1007.84,23.54,54.06,2022-08-18T12:35:28Z
536,1007.84,23.51,54.06,2022-08-18T12:35:33Z
535,1007.83,23.48,54.05,2022-08-18T12:35:38Z
532,1007.86,23.46,54.12,2022-08-18T12:35:43Z
532,1007.84,23.44,54.23,2022-08-18T12:35:48Z
529,1007.8,23.43,54.22,2022-08-18T12:35:53Z
529,1007.82,23.42,54.33,2022-08-18T12:35:58Z
529,1007.8,23.42,54.25,2022-08-18T12:36:03Z
529,1007.81,23.44,54.19,2022-08-18T12:36:08Z
528,1007.78,23.47,54.13,2022-08-18T12:36:13Z
528,1007.81,23.49,54.09,2022-08-18T12:36:18Z
528,1007.81,23.53,54.07,2022-08-18T12:36:23Z
528,1007.81,23.55,53.98,2022-08-18T12:36:29Z
527,1007.81,23.53,53.94,2022-08-18T12:36:34Z
527,1007.83,23.55,53.88,2022-08-18T12:36:39Z
526,1007.82,23.55,53.84,2022-08-18T12:36:44Z
526,1007.84,23.54,53.98,2022-08-18T12:36:49Z
525,1007.84,23.51,53.99,2022-08-18T12:36:54Z
525,1007.82,23.51,53.97,2022-08-18T12:36:59Z
525,1007.83,23.5,53.92,2022-08-18T12:37:04Z
525,1007.8,23.52,53.91,2022-08-18T12:37:09Z
525,1007.82,23.51,53.89,2022-08-18T12:37:14Z
525,1007.83,23.53,53.88,2022-08-18T12:37:19Z
524,1007.81,23.53,53.9,2022-08-18T12:37:24Z
525,1007.79,23.52,53.89,2022-08-18T12:37:29Z
525,1007.78,23.54,54.01,2022-08-18T12:37:34Z
524,1007.8,23.56,53.87,2022-08-18T12:37:39Z
525,1007.78,23.56,53.8,2022-08-18T12:37:44Z
525,1007.76,23.57,53.79,2022-08-18T12:37:49Z
526,1007.81,23.56,53.83,2022-08-18T12:37:54Z
525,1007.79,23.56,53.88,2022-08-18T12:37:59Z
525,1007.81,23.54,53.86,2022-08-18T12:38:04Z
525,1007.83,23.54,53.85,2022-08-18T12:38:09Z
524,1007.84,23.53,53.87,2022-08-18T12:38:14Z
524,1007.84,23.53,53.94,2022-08-18T12:38:19Z
523,1007.84,23.52,53.94,2022-08-18T12:38:24Z
523,1007.85,23.52,54,2022-08-18T12:38:29Z
524,1007.83,23.53,54.28,2022-08-18T12:38:34Z
524,1007.82,23.51,54.08,2022-08-18T12:38:39Z
524,1007.79,23.45,54.08,2022-08-18T12:38:44Z
525,1007.82,23.43,54.15,2022-08-18T12:38:50Z
525,1007.81,23.42,54.21,2022-08-18T12:38:55Z
526,1007.81,23.49,54.2,2022-08-18T12:39:00Z
525,1007.82,23.54,53.99,2022-08-18T12:39:05Z
525,1007.81,23.55,53.89,2022-08-18T12:39:10Z
527,1007.82,23.61,53.79,2022-08-18T12:39:20Z
527,1007.81,23.6,53.79,2022-08-18T12:39:25Z
527,1007.84,23.62,53.75,2022-08-18T12:39:30Z
527,1007.85,23.65,53.63,2022-08-18T12:39:35Z
526,1007.81,23.66,53.59,2022-08-18T12:39:40Z
526,1007.83,23.68,53.64,2022-08-18T12:39:45Z
526,1007.84,23.67,53.76,2022-08-18T12:39:50Z
526,1007.81,23.71,53.67,2022-08-18T12:39:55Z
526,1007.85,23.73,53.76,2022-08-18T12:40:00Z
527,1007.88,23.78,53.67,2022-08-18T12:40:05Z
528,1007.87,23.81,53.57,2022-08-18T12:40:10Z
528,1007.87,23.84,53.58,2022-08-18T12:40:15Z
528,1007.89,23.88,53.74,2022-08-18T12:40:20Z
529,1007.89,23.9,53.55,2022-08-18T12:40:25Z
528,1007.89,23.86,53.23,2022-08-18T12:40:30Z
529,1007.87,23.93,53.18,2022-08-18T12:40:35Z
529,1007.83,23.96,53.04,2022-08-18T12:40:40Z
529,1007.81,24.01,53,2022-08-18T12:40:45Z
529,1007.81,24.04,52.92,2022-08-18T12:40:50Z
529,1007.83,24.04,52.96,2022-08-18T12:40:55Z
529,1007.82,24.04,52.79,2022-08-18T12:41:00Z
530,1007.81,24.04,52.73,2022-08-18T12:41:05Z
532,1007.8,24.05,52.73,2022-08-18T12:41:10Z
532,1007.81,24.02,52.79,2022-08-18T12:41:15Z
532,1007.83,23.97,52.91,2022-08-18T12:41:20Z
541,1007.91,24.35,52.17,2022-08-18T12:44:27Z
541,1007.92,24.4,52.84,2022-08-18T12:44:32Z
541,1007.92,24.4,52.03,2022-08-18T12:44:37Z
540,1007.92,24.39,51.93,2022-08-18T12:44:42Z
541,1007.92,24.4,51.88,2022-08-18T12:44:47Z
541,1007.92,24.41,51.83,2022-08-18T12:44:52Z
542,1007.95,24.4,51.92,2022-08-18T12:44:57Z
541,1007.92,24.39,51.84,2022-08-18T12:45:02Z
541,1007.89,24.36,51.82,2022-08-18T12:45:07Z
542,1007.96,24.4,51.81,2022-08-18T12:45:12Z
541,1007.89,24.33,51.86,2022-08-18T12:45:17Z
542,1007.93,24.3,51.86,2022-08-18T12:45:22Z
542,1007.9,24.29,51.95,2022-08-18T12:45:27Z
543,1007.94,24.25,52.02,2022-08-18T12:45:32Z
543,1007.94,24.24,52.06,2022-08-18T12:45:37Z
543,1007.91,24.25,52.08,2022-08-18T12:45:42Z
542,1007.91,24.24,52.08,2022-08-18T12:45:47Z
542,1007.91,24.24,52.08,2022-08-18T12:45:52Z
543,1007.93,24.25,52.17,2022-08-18T12:45:57Z
542,1007.94,24.25,52.18,2022-08-18T12:46:02Z
542,1007.97,24.25,52.29,2022-08-18T12:46:07Z
542,1007.94,24.22,52.44,2022-08-18T12:46:12Z
543,1007.94,24.23,52.63,2022-08-18T12:46:17Z
543,1007.93,24.21,52.27,2022-08-18T12:46:22Z
543,1007.92,24.2,52.28,2022-08-18T12:46:28Z
543,1007.94,24.21,52.3,2022-08-18T12:46:33Z
543,1007.91,24.24,52.34,2022-08-18T12:46:38Z
543,1007.96,24.29,52.34,2022-08-18T12:46:43Z
543,1007.96,24.28,52.36,2022-08-18T12:46:48Z
543,1007.95,24.22,52.45,2022-08-18T12:46:53Z
